2022-05-18 13:05:253 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (8fbf3b38ad6a3f7ccd8f1621c19a8eff)] -> id: Email]
2022-05-18 13:05:324 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (8fbf3b38ad6a3f7ccd8f1621c19a8eff)] -> name: Password]
2022-05-18 13:05:405 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (8fbf3b38ad6a3f7ccd8f1621c19a8eff)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:784 INFO  LoginPage :64 - Error message[[ChromeDriver: chrome on WINDOWS (8fbf3b38ad6a3f7ccd8f1621c19a8eff)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 13:05:812 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:898 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d0fd46017cfc03973be697dca620ce9c)] -> link text: Log in]
2022-05-18 13:05:914 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (d0fd46017cfc03973be697dca620ce9c)] -> id: Email]
2022-05-18 13:05:976 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (d0fd46017cfc03973be697dca620ce9c)] -> name: Password]
2022-05-18 13:05:48 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (d0fd46017cfc03973be697dca620ce9c)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:432 INFO  LoginPage :64 - Error message[[ChromeDriver: chrome on WINDOWS (d0fd46017cfc03973be697dca620ce9c)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 13:05:461 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:535 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (14cbfb1b6690410845b0a331b2fff2f3)] -> link text: Log in]
2022-05-18 13:05:550 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (14cbfb1b6690410845b0a331b2fff2f3)] -> id: Email]
2022-05-18 13:05:615 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (14cbfb1b6690410845b0a331b2fff2f3)] -> name: Password]
2022-05-18 13:05:682 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (14cbfb1b6690410845b0a331b2fff2f3)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 13:05:74 INFO  LoginPage :64 - Error message[[ChromeDriver: chrome on WINDOWS (14cbfb1b6690410845b0a331b2fff2f3)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 13:05:99 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-18 13:05:319 INFO  HomePage :40 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9e095964e61f4a38b20fa9643d638611)] -> link text: Log in]
2022-05-18 13:05:337 INFO  LoginPage :48 - Enter email [[ChromeDriver: chrome on WINDOWS (9e095964e61f4a38b20fa9643d638611)] -> id: Email]
2022-05-18 13:05:413 INFO  LoginPage :54 - Enter password [[ChromeDriver: chrome on WINDOWS (9e095964e61f4a38b20fa9643d638611)] -> name: Password]
2022-05-18 13:05:481 INFO  LoginPage :59 - Click on login button [[ChromeDriver: chrome on WINDOWS (9e095964e61f4a38b20fa9643d638611)] -> xpath: //button[contains(text(),'Log in')]]
