2022-05-15 14:05:164 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3b7d56c0ca14ffe87eeadf042c5bcf36)] -> link text: Log in]
2022-05-15 14:05:369 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:623 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9a5654198d0152fcf303b5f4867026aa)] -> link text: Log in]
2022-05-15 14:05:802 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:867 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f1b885b6daeb352180c9d8d7da566279)] -> link text: Log in]
2022-05-15 14:05:760 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:753 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6087ce91782161bf7c8de1e0c87e5ede)] -> link text: Log in]
2022-05-15 14:05:27 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:715 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (54aa18da3588e91c51f971a40a0ea2a4)] -> link text: Log in]
2022-05-15 14:05:625 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:785 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e3ee861b2b74cc2ada3b739c1da8324a)] -> link text: Log in]
2022-05-15 16:05:665 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:293 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ed7f920a53add86a8c383df322b40ce1)] -> link text: Log in]
2022-05-15 16:05:39 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:237 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (971b1d0f793eeecad559f5d6821c124b)] -> link text: Log in]
2022-05-15 16:05:376 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:63 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (de7db6cd49aa545d5faae7b067d250aa)] -> link text: Log in]
2022-05-15 16:05:96 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (de7db6cd49aa545d5faae7b067d250aa)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 16:05:845 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:900 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (16d405cae52103e9c8ff406f8db34430)] -> link text: Log in]
2022-05-15 16:05:149 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:69 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8915086e07a39518505e37e7f48ec18f)] -> link text: Log in]
2022-05-15 16:05:363 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:747 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (eabae8b5e7a10d4e5db648fe1c41068f)] -> link text: Log in]
2022-05-15 16:05:995 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:43 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a2536a2f4988afa728507db1a6266822)] -> link text: Log in]
2022-05-15 16:05:782 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:913 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c047c02ce8bb1a797df8ce0ee04982b3)] -> link text: Log in]
2022-05-15 16:05:18 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:350 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b9db45c136444290e4e3c6436e4f55eb)] -> link text: Log in]
2022-05-15 16:05:805 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:760 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c006addcf4621a8ed39eba984fc0deb2)] -> link text: Log in]
2022-05-15 16:05:408 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:504 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6b96c4742c89dbe5236c834b1463d7c1)] -> link text: Log in]
2022-05-15 16:05:238 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 16:05:298 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (2e919663a1739e90421b533733c25905)] -> link text: Log in]
2022-05-15 17:05:348 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:410 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4995e7cca59c35af22aafa018db8606d)] -> link text: Log in]
2022-05-15 17:05:437 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4995e7cca59c35af22aafa018db8606d)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 17:05:173 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:196 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (002a13769bb575a8df475ca451fed895)] -> link text: Log in]
2022-05-15 17:05:485 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:548 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (7ad6b3761b875ae5ba8adf432b5421d3)] -> link text: Log in]
2022-05-15 17:05:813 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 17:05:43 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (279337d02f440157d6ba59ddc0dcb6b2)] -> link text: Log in]
2022-05-15 17:05:298 INFO  ManageDriver :33 - Launching Chrome Browser
